arquivo,estilo_real,estilo_llm
mpb - Aquele abraço - Gilberto Gil.webm,mpb,samba
mpb - Caetano Veloso - Sozinho.webm,mpb,mpb
mpb - CONSTRUÇÃO - CHICO BUARQUE ｜ CONHEÇA A LETRA.webm,mpb,samba
pagode - Exaltasamba- Tá vendo aquela Lua.webm,pagode,pagode
rock - Epitáfio.webm,rock,mpb
"samba - Canta, Canta Minha Gente - Varios Artistas (Sambabook Martinho da Vila).webm",samba,samba
samba - Cartola - As Rosas Não Falam.webm,samba,mpb
samba - Zeca Pagodinho - Deixa A Vida Me Levar.webm,samba,pagode
sertanejo - Chitãozinho & Xororó - Evidências.webm,sertanejo,sertanejo
sertanejo - Jorge & Mateus - Pode Chorar.webm,sertanejo,sertanejo
sertanejo - Leandro e Leonardo - Pense em mim.webm,sertanejo,sertanejo
sertanejo - Marília Mendonça - Infiel - Vídeo Oficial do DVD.webm,sertanejo,sertanejo
sertanejo - Michel Teló - Ai Se Eu Te Pego -  Video Oficial (Assim você me mata).webm,sertanejo,sertanejo
